Date,Open,High,Low,Close,Adj Close,Volume
2015-10-21,60.000000,60.970001,55.000000,55.000000,53.512669,22425300
2015-10-22,57.070000,58.200001,55.700001,56.750000,55.215343,4545100
2015-10-23,57.770000,58.000000,56.270000,56.380001,54.855347,1967600
2015-10-26,57.000000,57.000000,54.535000,55.020000,53.532127,1466200
2015-10-27,54.799999,54.990002,49.360001,53.849998,52.393764,5949200
2015-10-28,54.020000,54.160000,50.099998,51.869999,50.467308,2411300
2015-10-29,51.869999,52.470001,50.757000,51.020000,49.640297,1362800
2015-10-30,51.560001,51.799999,49.660000,50.430000,49.066254,1355100
2015-11-02,50.860001,53.169998,49.889999,53.080002,51.644592,890200
2015-11-03,53.090000,55.000000,52.119999,52.380001,50.963520,1022400
2015-11-04,52.959999,54.040001,52.750000,53.439999,51.994854,753300
2015-11-05,53.450001,53.849998,51.610001,51.740002,50.340828,820200
2015-11-06,52.200001,52.430000,51.799999,52.430000,51.012169,513500
2015-11-09,52.820000,53.650002,52.000000,53.200001,51.761345,442800
2015-11-10,53.700001,54.000000,53.090000,54.000000,52.539711,376800
2015-11-11,54.000000,54.500000,53.029999,54.340000,52.870518,471500
2015-11-12,54.330002,54.400002,53.259998,54.119999,52.656464,379300
2015-11-13,53.950001,53.950001,50.520000,51.400002,50.010021,1337000
2015-11-16,51.950001,51.950001,48.830002,49.509998,48.171127,1297500
2015-11-17,50.279999,50.770000,48.810001,48.980000,47.655464,897300
2015-11-18,49.389999,49.473999,47.209999,47.279999,46.001434,1102000
2015-11-19,47.459999,47.860001,45.830002,47.599998,46.312778,2163800
2015-11-20,47.869999,48.490002,47.619999,48.080002,46.779804,542500
2015-11-23,48.099998,48.290001,45.980000,46.000000,44.756050,1389000
2015-11-24,46.000000,46.459999,44.650002,46.279999,45.028477,1036600
2015-11-25,46.500000,46.830002,45.500000,45.660000,44.425243,868900
2015-11-27,45.590000,46.419998,45.400002,46.060001,44.814426,285300
2015-11-30,46.299999,46.869999,45.880001,46.349998,45.096581,566400
2015-12-01,46.500000,48.259998,46.439999,47.639999,46.351700,667100
2015-12-02,47.880001,48.127998,46.849998,47.209999,45.933331,614800
2015-12-03,47.439999,47.860001,46.250000,47.060001,45.787384,528500
2015-12-04,47.340000,48.849998,47.090000,48.549999,47.237087,583200
2015-12-07,48.650002,50.389999,47.509998,47.990002,46.692238,861400
2015-12-08,48.490002,49.000000,47.000000,47.619999,46.332241,842500
2015-12-09,47.439999,49.439999,47.139999,47.750000,46.458725,507600
2015-12-10,48.070000,49.360001,47.880001,48.980000,47.655464,526800
2015-12-11,48.009998,49.220001,47.594002,48.790001,47.470604,480300
2015-12-14,48.049999,48.700001,46.000000,46.930000,45.660896,691500
2015-12-15,46.930000,49.090000,46.900002,47.549999,46.264133,760700
2015-12-16,48.320000,48.970001,47.290001,48.500000,47.188442,534500
2015-12-17,48.650002,48.990002,47.020000,47.480000,46.196026,547100
2015-12-18,46.959999,47.480000,46.000000,46.360001,45.106316,461200
2015-12-21,46.250000,47.799999,46.090000,47.410000,46.127922,623100
2015-12-22,47.480000,48.730000,46.560001,46.619999,45.359283,448500
2015-12-23,47.040001,47.990002,46.810001,47.049999,45.777657,232200
2015-12-24,46.619999,47.509998,46.610001,46.750000,45.485767,150600
2015-12-28,47.290001,47.500000,46.275002,46.430000,45.174423,269300
2015-12-29,46.840000,48.139999,46.705002,47.930000,46.633854,505500
2015-12-30,47.930000,48.549999,47.500000,48.410000,47.100880,297000
2015-12-31,48.259998,48.884998,47.430000,48.000000,46.701965,390400
2016-01-04,47.290001,47.810001,46.410000,47.389999,46.108459,2507000
2016-01-05,48.599998,48.730000,47.450001,48.490002,47.178719,1934400
2016-01-06,47.750000,47.860001,46.580002,47.070000,45.797112,2554900
2016-01-07,46.419998,47.080002,46.160000,46.650002,45.388470,1775300
2016-01-08,46.599998,46.630001,43.110001,43.110001,41.944202,5116900
2016-01-11,43.200001,43.860001,42.099998,43.380001,42.206902,2250000
2016-01-12,43.950001,44.090000,42.860001,43.660000,42.479328,1933800
2016-01-13,43.430000,43.580002,42.200001,42.669998,41.516098,1440600
2016-01-14,42.470001,42.560001,40.570000,41.990002,40.854492,3631200
2016-01-15,40.470001,40.740002,39.660000,40.020000,38.937763,1878300
2016-01-19,40.689999,42.299999,40.560001,41.669998,40.543140,1396800
